,state,county,candidate,party,total_votes_x,won,total_votes_y
118,Florida,Calhoun County,Jo Jorgensen,LIB,29,False,11067456
119,Florida,Calhoun County,Rocky De La Fuente,ALI,4,False,11067456
120,Florida,Calhoun County,Howie Hawkins,GRN,4,False,11067456
121,Florida,Calhoun County,Gloria La Riva,PSL,4,False,11067456
122,Florida,Calhoun County,Don Blankenship,CST,2,False,11067456
123,Florida,Calhoun County, Write-ins,WRI,0,False,11067456
124,Florida,Charlotte County,Donald Trump,REP,73243,True,11067456
125,Florida,Charlotte County,Joe Biden,DEM,42273,False,11067456
126,Florida,Charlotte County,Jo Jorgensen,LIB,565,False,11067456
127,Florida,Charlotte County,Howie Hawkins,GRN,129,False,11067456
128,Florida,Charlotte County,Rocky De La Fuente,ALI,49,False,11067456
129,Florida,Charlotte County,Don Blankenship,CST,45,False,11067456
130,Florida,Charlotte County,Gloria La Riva,PSL,32,False,11067456
131,Florida,Charlotte County, Write-ins,WRI,4,False,11067456
132,Florida,Citrus County,Donald Trump,REP,65352,True,11067456
133,Florida,Citrus County,Joe Biden,DEM,27092,False,11067456
134,Florida,Citrus County,Jo Jorgensen,LIB,548,False,11067456
135,Florida,Citrus County,Howie Hawkins,GRN,86,False,11067456
136,Florida,Citrus County,Don Blankenship,CST,49,False,11067456
137,Florida,Citrus County,Rocky De La Fuente,ALI,42,False,11067456
138,Florida,Citrus County,Gloria La Riva,PSL,30,False,11067456
139,Florida,Citrus County, Write-ins,WRI,9,False,11067456
140,Florida,Clay County,Donald Trump,REP,84480,True,11067456
141,Florida,Clay County,Joe Biden,DEM,38317,False,11067456
142,Florida,Clay County,Jo Jorgensen,LIB,1286,False,11067456
143,Florida,Clay County,Howie Hawkins,GRN,153,False,11067456
144,Florida,Clay County,Don Blankenship,CST,57,False,11067456
145,Florida,Clay County,Gloria La Riva,PSL,55,False,11067456
146,Florida,Clay County,Rocky De La Fuente,ALI,45,False,11067456
147,Florida,Clay County, Write-ins,WRI,12,False,11067456
148,Florida,Collier County,Donald Trump,REP,128950,True,11067456
149,Florida,Collier County,Joe Biden,DEM,77621,False,11067456
150,Florida,Collier County,Jo Jorgensen,LIB,889,False,11067456
151,Florida,Collier County,Howie Hawkins,GRN,186,False,11067456
152,Florida,Collier County,Rocky De La Fuente,ALI,64,False,11067456
153,Florida,Collier County,Gloria La Riva,PSL,50,False,11067456
154,Florida,Collier County,Don Blankenship,CST,39,False,11067456
155,Florida,Collier County, Write-ins,WRI,19,False,11067456
156,Florida,Columbia County,Donald Trump,REP,23836,True,11067456
157,Florida,Columbia County,Joe Biden,DEM,8914,False,11067456
158,Florida,Columbia County,Jo Jorgensen,LIB,224,False,11067456
159,Florida,Columbia County,Howie Hawkins,GRN,28,False,11067456
160,Florida,Columbia County,Gloria La Riva,PSL,20,False,11067456
161,Florida,Columbia County,Rocky De La Fuente,ALI,12,False,11067456
162,Florida,Columbia County,Don Blankenship,CST,8,False,11067456
163,Florida,Columbia County, Write-ins,WRI,0,False,11067456
164,Florida,DeSoto County,Donald Trump,REP,8313,True,11067456
165,Florida,DeSoto County,Joe Biden,DEM,4259,False,11067456
166,Florida,DeSoto County,Jo Jorgensen,LIB,52,False,11067456
167,Florida,DeSoto County,Rocky De La Fuente,ALI,12,False,11067456
168,Florida,DeSoto County,Gloria La Riva,PSL,11,False,11067456
169,Florida,DeSoto County,Howie Hawkins,GRN,8,False,11067456
170,Florida,DeSoto County,Don Blankenship,CST,4,False,11067456
171,Florida,DeSoto County, Write-ins,WRI,0,False,11067456
172,Florida,Dixie County,Donald Trump,REP,6759,True,11067456
173,Florida,Dixie County,Joe Biden,DEM,1365,False,11067456
174,Florida,Dixie County,Jo Jorgensen,LIB,27,False,11067456
175,Florida,Dixie County,Rocky De La Fuente,ALI,5,False,11067456
176,Florida,Dixie County,Howie Hawkins,GRN,5,False,11067456
177,Florida,Dixie County,Don Blankenship,CST,4,False,11067456
